userId,movieId,rating,timestamp
114,735,3.0,1663188459
199,441,1.6,1627863112
52,142,4.7,1645707052
52,603,3.6,1644720496
9,689,3.4,1623888868
82,150,3.4,1648787432
45,418,4.7,1658737514
81,572,1.1,1658639758
90,506,3.6,1660667809
198,169,4.7,1636318259
193,327,2.7,1664646331
167,364,4.1,1617365380
180,932,4.2,1667796467
94,735,1.8,1654850206
26,717,3.7,1632708570
167,95,1.9,1637672718
49,745,1.9,1661883483
134,335,1.5,1657059927
29,839,4.5,1621317347
15,259,3.4,1632490085
57,975,2.1,1626710780
131,683,1.3,1624295275
102,775,3.2,1616033105
80,628,2.5,1643901815
94,325,1.1,1612143722
154,576,1.9,1647075953
75,863,2.3,1643418619
140,338,1.0,1650890085
40,999,1.3,1630446649
55,244,1.1,1624405345
133,472,2.8,1645273228
68,708,3.7,1635567456
163,451,4.9,1630400688
110,390,2.7,1611816194
85,149,3.7,1647458639
167,822,3.5,1666732980
25,580,2.2,1617106293
84,27,2.5,1655634451
113,963,2.6,1618294843
76,903,2.2,1617285542
61,77,1.6,1620559425
77,320,2.2,1616844266
167,609,3.6,1654213225
174,293,2.8,1657827817
89,475,3.3,1625111658
157,924,2.8,1652762821
51,669,1.3,1635715220
177,932,1.6,1667490787
86,763,3.9,1625439573
132,325,3.2,1626496807
46,783,2.2,1661433371
5,730,3.7,1621657300
3,664,3.5,1646541057
196,151,3.9,1611550617
190,264,3.0,1622671876
180,488,3.5,1615590544
94,691,1.3,1619142850
189,661,4.5,1641082375
20,378,1.7,1619621473
59,235,3.0,1666030037
118,356,2.9,1663346020
169,919,4.0,1647586956
59,616,2.1,1628193996
97,760,3.7,1640774203
55,285,1.9,1638058969
171,380,3.8,1636131877
129,26,3.3,1611345658
51,539,2.5,1614913988
108,659,1.1,1665439041
82,677,3.3,1651253928
5,540,1.5,1666381341
78,655,4.3,1647711788
38,272,1.7,1664244032
20,888,4.1,1668009843
16,308,4.0,1611581486
38,723,4.4,1671693741
6,171,3.0,1646353703
180,83,2.8,1665103846
76,861,1.7,1632315746
172,530,3.3,1666971049
8,168,4.9,1669674015
96,599,1.8,1648628482
126,16,1.3,1631527633
82,313,4.5,1665789495
46,262,1.2,1620951944
160,820,3.6,1634452138
